Nombre,Equipo,Posición,Minutos jugados,Asistencias,Paradas,Con los puños,Salidas (comp.),Despejes por alto,Paradas a tiros desde dentro del área,Toques,Pases precisos,Pases clave,Centros (acertados),Pases largos (acertados),Despejes,Tiros bloqueados,Intercepciones,Tackles totales,Regateado,Duelos en el suelo (ganados),Duelos aéreos (ganados),Faltas,Recibió falta,Tiros a puerta,Tiros fuera,Regates intentados (completados),Goles,Posesiones perdidas,Asistencia esperada (xA),Fueras de juego,Ocas. claras falladas,Ocas. claras creadas
Alexis Martín Arias,,G,90',0,4,1,0 (0),0,4,36,10/24 (42%),0,0 (0),22 (8),3,0,0,0,0,0 (0),0 (0),0,0,0,0,0 (0),,,,,,
Fabricio Domínguez,,M,62',0,,,,,,32,16/21 (76%),1,0 (0),1 (0),1,0,0,0,1,6 (0),1 (1),3,0,0,0,1 (0),0,10,,,,
Matías Pérez,Cerro Porteño,D,66',0,,,,,,26,12/16 (75%),0,0 (0),6 (2),3,1,0,1,0,1 (1),1 (1),0,0,0,0,0 (0),0,8,,,,
Lucas Quintana,,D,90',0,,,,,,27,7/13 (54%),0,0 (0),5 (1),5,0,2,1,1,2 (1),4 (3),0,0,0,0,0 (0),0,10,,,,
Blás Riveros,,D,90',0,,,,,,62,30/36 (83%),1,5 (1),4 (1),4,0,1,0,0,4 (2),9 (4),0,1,0,0,3 (1),0,17,,,,
Wílder Viera,Cerro Porteño,M,38',0,,,,,,12,3/5 (60%),0,0 (0),1 (0),2,0,0,0,1,2 (0),1 (0),0,0,0,0,0 (0),0,3,0.01,,,
Jorge Morel,Cerro Porteño,M,53',0,,,,,,13,4/7 (57%),0,0 (0),2 (1),2,1,0,0,2,2 (0),0 (0),0,0,1,1,0 (0),0,3,,,,
Juan Iturbe,Cerro Porteño,F,52',0,,,,,,5,2/4 (50%),0,0 (0),0 (0),0,0,0,0,1,2 (0),2 (1),1,0,0,0,0 (0),0,3,,1,,
Rodrigo Gómez,,D,8',0,,,,,,10,3/4 (75%),0,2 (0),1 (1),0,0,1,0,0,0 (0),0 (0),0,0,0,0,0 (0),0,4,,,,
Ignacio Aliseda,,F,19',0,,,,,,16,6/8 (75%),0,0 (0),1 (1),0,0,0,0,0,5 (3),0 (0),0,3,0,0,2 (0),0,5,,,,
Jonathan Torres,Cerro Porteño,F,83',0,,,,,,31,10/20 (50%),1,1 (1),0 (0),2,0,0,2,1,9 (4),15 (9),4,2,0,2,0 (0),0,11,0.07,2,,
Fernando Muslera,Estudiantes de La Plata,G,90',0,3,0,2 (2),4,2,47,23/31 (74%),0,0 (0),15 (7),2,0,0,0,0,1 (1),0 (0),0,1,0,0,0 (0),,,,,,
Eric Meza,Estudiantes de La Plata,D,90',0,,,,,,69,35/43 (81%),2,2 (1),5 (0),2,1,2,2,0,11 (6),1 (0),2,0,0,0,6 (4),0,17,0.13,1,,
Edwuin Cetré,Estudiantes de La Plata,F,71',0,,,,,,42,23/26 (88%),4,2 (1),2 (1),1,0,0,0,0,3 (2),2 (1),1,1,3,1,1 (1),1,10,0.07,,,
Facundo Rodríguez,Estudiantes de La Plata,D,90',0,,,,,,74,58/65 (89%),0,0 (0),8 (3),6,0,1,0,0,1 (0),2 (2),1,0,0,0,0 (0),0,7,,,,
Santiago Arzamendia,Estudiantes de La Plata,D,90',0,,,,,,90,58/66 (88%),0,2 (1),6 (2),3,1,2,3,1,8 (3),1 (0),2,0,0,0,1 (0),0,13,0.01,,,
Santiago Ascacíbar,Estudiantes de La Plata,M,90',0,,,,,,55,43/48 (90%),0,0 (0),4 (3),0,0,0,0,2,4 (1),2 (1),1,1,0,0,0 (0),0,6,0.24,,,
Leandro González Pírez,Estudiantes de La Plata,D,90',0,,,,,,52,30/40 (75%),0,0 (0),10 (4),7,0,0,2,0,3 (3),2 (1),0,1,1,0,0 (0),1,11,,,,
Cristian Medina,Estudiantes de La Plata,M,61',1,,,,,,38,23/28 (82%),3,1 (0),3 (2),0,0,2,0,0,5 (2),0 (0),2,2,2,0,1 (0),0,7,0.04,,2,
Tiago Palacios,Estudiantes de La Plata,M,81',0,,,,,,58,29/35 (83%),3,2 (2),0 (0),0,0,1,3,0,9 (4),0 (0),0,1,1,2,2 (0),0,13,0.34,,,
Guido Carrillo,Estudiantes de La Plata,F,74',1,,,,,,49,18/25 (72%),2,0 (0),3 (3),2,0,0,0,0,8 (5),9 (3),1,4,2,0,3 (1),1,14,0.15,,1,2
Alexis Castro,Estudiantes de La Plata,M,29',0,,,,,,31,20/26 (77%),0,0 (0),0 (0),0,0,1,2,0,3 (2),0 (0),1,0,1,0,0 (0),0,7,0.01,,,
